District_Name,Crop_Year,Season,Crop,Area,Production
Adilabad,1999,Whole Year ,Sugarcane,53888,6143232
Adilabad,2000,Whole Year ,Sugarcane,62050,7014752
Adilabad,2001,Whole Year ,Sugarcane,60450,5570468
Adilabad,2002,Whole Year ,Sugarcane,58694,5241374
Adilabad,2003,Whole Year ,Sugarcane,38744,2834124
Adilabad,2005,Whole Year ,Sugarcane,37783,3445810
Adilabad,2006,Whole Year ,Sugarcane,48913,4274996
Adilabad,2007,Whole Year ,Sugarcane,57399,5071202
Adilabad,2008,Whole Year ,Sugarcane,56598,5860723
Adilabad,2009,Whole Year ,Sugarcane,63833,6549266
Adilabad,2010,Whole Year ,Sugarcane,79930,7897084
Adilabad,2011,Whole Year ,Sugarcane,89361,8064830
Adilabad,2012,Whole Year ,Sugarcane,91361,7984951
Adilabad,2013,Whole Year ,Sugarcane,86942,9002844
Adilabad,2014,Whole Year ,Sugarcane,93679,10234431
BANGALORE RURAL,1999,Whole Year ,Sugarcane,1484,149439
BANGALORE RURAL,2000,Whole Year ,Sugarcane,1548,158825
BANGALORE RURAL,2001,Whole Year ,Sugarcane,1608,129846
BANGALORE RURAL,2002,Whole Year ,Sugarcane,1959,180522
BANGALORE RURAL,2003,Whole Year ,Sugarcane,589,39728
BANGALORE RURAL,2005,Whole Year ,Sugarcane,331,29244
BANGALORE RURAL,2006,Whole Year ,Sugarcane,1753,169866
BANGALORE RURAL,2007,Whole Year ,Sugarcane,8,676
BANGALORE RURAL,2008,Whole Year ,Sugarcane,93,8040
BANGALORE RURAL,2010,Whole Year ,Sugarcane,8,775
BANGALORE RURAL,2012,Whole Year ,Sugarcane,3,251
BANGALORE RURAL,2013,Whole Year ,Sugarcane,1,89
BELGAUM,1997,Whole Year ,Sugarcane,125173,11177949
BELGAUM,1999,Whole Year ,Sugarcane,140512,13081667
BELGAUM,2000,Whole Year ,Sugarcane,174706,17924836
BELGAUM,2001,Whole Year ,Sugarcane,156043,10969823
BELGAUM,2002,Whole Year ,Sugarcane,145133,10892232
BELGAUM,2003,Whole Year ,Sugarcane,105237,4898782
BELGAUM,2005,Whole Year ,Sugarcane,92971,8213988
BELGAUM,2006,Whole Year ,Sugarcane,97762,8265777
BELGAUM,2007,Whole Year ,Sugarcane,102845,9281761
BELGAUM,2008,Whole Year ,Sugarcane,114181,9654004
BELGAUM,2009,Whole Year ,Sugarcane,147298,14972842
BELGAUM,2010,Whole Year ,Sugarcane,187884,18027470
BELGAUM,2011,Whole Year ,Sugarcane,171205,16264475
BELGAUM,2012,Whole Year ,Sugarcane,168128,13895779
BELGAUM,2013,Whole Year ,Sugarcane,159443,14389731
BELGAUM,2014,Whole Year ,Sugarcane,180571,16296533
BELLARY,1997,Whole Year ,Sugarcane,6945,488234
BELLARY,1999,Whole Year ,Sugarcane,7336,655105
BELLARY,2000,Whole Year ,Sugarcane,7174,783760
BELLARY,2001,Whole Year ,Sugarcane,7666,750118
BELLARY,2002,Whole Year ,Sugarcane,5327,384609
BELLARY,2003,Whole Year ,Sugarcane,1831,121762
BELLARY,2005,Whole Year ,Sugarcane,3531,338799
BELLARY,2006,Whole Year ,Sugarcane,3293,297193
BELLARY,2007,Whole Year ,Sugarcane,2402,203089
BELLARY,2008,Whole Year ,Sugarcane,1932,249614
BELLARY,2009,Whole Year ,Sugarcane,2464,238762
BELLARY,2010,Whole Year ,Sugarcane,1363,130780
BELLARY,2011,Whole Year ,Sugarcane,3806,318182
BELLARY,2012,Whole Year ,Sugarcane,5660,483930
BELLARY,2013,Whole Year ,Sugarcane,6004,484823
BELLARY,2014,Whole Year ,Sugarcane,3406,349456
BENGALURU URBAN,1997,Whole Year ,Sugarcane,1585,149070
BENGALURU URBAN,1999,Whole Year ,Sugarcane,66,6646
BENGALURU URBAN,2000,Whole Year ,Sugarcane,58,5951
BENGALURU URBAN,2001,Whole Year ,Sugarcane,50,4038
BENGALURU URBAN,2002,Whole Year ,Sugarcane,91,7694
BENGALURU URBAN,2003,Whole Year ,Sugarcane,5,328
BENGALURU URBAN,2006,Whole Year ,Sugarcane,20,1748
BENGALURU URBAN,2007,Whole Year ,Sugarcane,20,1691
BENGALURU URBAN,2010,Whole Year ,Sugarcane,3,291
BENGALURU URBAN,2012,Whole Year ,Sugarcane,12,1003
BENGALURU URBAN,2014,Whole Year ,Sugarcane,2,182
BIDAR,1997,Whole Year ,Sugarcane,22571,1543856
BIDAR,1999,Whole Year ,Sugarcane,26826,2140715
BIDAR,2000,Whole Year ,Sugarcane,30929,2086161
BIDAR,2001,Whole Year ,Sugarcane,29225,1415951
BIDAR,2002,Whole Year ,Sugarcane,30943,2234085
BIDAR,2003,Whole Year ,Sugarcane,23197,1476489
BIDAR,2005,Whole Year ,Sugarcane,23366,1531641
BIDAR,2006,Whole Year ,Sugarcane,26114,1885431
BIDAR,2007,Whole Year ,Sugarcane,27086,1852682
BIDAR,2008,Whole Year ,Sugarcane,24616,1426497
BIDAR,2009,Whole Year ,Sugarcane,25686,1805726
BIDAR,2010,Whole Year ,Sugarcane,31299,2200320
BIDAR,2011,Whole Year ,Sugarcane,25507,1744679
BIDAR,2012,Whole Year ,Sugarcane,31522,2186051
BIDAR,2013,Whole Year ,Sugarcane,26490,1937744
BIDAR,2014,Whole Year ,Sugarcane,28867,1892232
BIJAPUR,1997,Whole Year ,Sugarcane,56484,5795258
BIJAPUR,1999,Whole Year ,Sugarcane,15680,1787520
BIJAPUR,2000,Whole Year ,Sugarcane,20426,1727018
BIJAPUR,2001,Whole Year ,Sugarcane,20460,1069035
BIJAPUR,2002,Whole Year ,Sugarcane,18537,1355982
BIJAPUR,2003,Whole Year ,Sugarcane,8068,505864
BIJAPUR,2005,Whole Year ,Sugarcane,11364,863664
BIJAPUR,2006,Whole Year ,Sugarcane,22734,1447019
BIJAPUR,2007,Whole Year ,Sugarcane,29191,1608424
BIJAPUR,2008,Whole Year ,Sugarcane,20604,1096133
BIJAPUR,2009,Whole Year ,Sugarcane,27663,1892149
BIJAPUR,2010,Whole Year ,Sugarcane,41377,3459117
BIJAPUR,2011,Whole Year ,Sugarcane,44208,3233815
BIJAPUR,2012,Whole Year ,Sugarcane,37382,2770006
BIJAPUR,2013,Whole Year ,Sugarcane,44914,3456132
BIJAPUR,2014,Whole Year ,Sugarcane,49050,3914190
CHAMARAJANAGAR,1999,Whole Year ,Sugarcane,19079,2301881
CHAMARAJANAGAR,2000,Whole Year ,Sugarcane,15397,1857648
CHAMARAJANAGAR,2001,Whole Year ,Sugarcane,18026,1729595
CHAMARAJANAGAR,2002,Whole Year ,Sugarcane,16755,1687228
CHAMARAJANAGAR,2003,Whole Year ,Sugarcane,7581,626570
CHAMARAJANAGAR,2005,Whole Year ,Sugarcane,6365,586535
CHAMARAJANAGAR,2006,Whole Year ,Sugarcane,8039,702609
CHAMARAJANAGAR,2007,Whole Year ,Sugarcane,8465,804175
CHAMARAJANAGAR,2008,Whole Year ,Sugarcane,8665,716162
CHAMARAJANAGAR,2009,Whole Year ,Sugarcane,8511,719605
CHAMARAJANAGAR,2010,Whole Year ,Sugarcane,6422,671099
CHAMARAJANAGAR,2011,Whole Year ,Sugarcane,8513,1067530
CHAMARAJANAGAR,2012,Whole Year ,Sugarcane,7548,559307
CHAMARAJANAGAR,2013,Whole Year ,Sugarcane,3050,289750
CHAMARAJANAGAR,2014,Whole Year ,Sugarcane,3573,298703
CHIKBALLAPUR,2009,Whole Year ,Sugarcane,41,3934
CHIKBALLAPUR,2010,Whole Year ,Sugarcane,267,25872
CHIKBALLAPUR,2011,Whole Year ,Sugarcane,202,18422
CHIKBALLAPUR,2012,Whole Year ,Sugarcane,212,17723
CHIKBALLAPUR,2014,Whole Year ,Sugarcane,58,5290
CHIKMAGALUR,1997,Whole Year ,Sugarcane,1488,163978
CHIKMAGALUR,1999,Whole Year ,Sugarcane,1235,140790
CHIKMAGALUR,2000,Whole Year ,Sugarcane,2037,158682
CHIKMAGALUR,2001,Whole Year ,Sugarcane,1867,150760
CHIKMAGALUR,2002,Whole Year ,Sugarcane,1790,175152
CHIKMAGALUR,2003,Whole Year ,Sugarcane,1274,108927
CHIKMAGALUR,2005,Whole Year ,Sugarcane,1504,132878
CHIKMAGALUR,2006,Whole Year ,Sugarcane,2632,207533
CHIKMAGALUR,2007,Whole Year ,Sugarcane,827,64423
CHIKMAGALUR,2008,Whole Year ,Sugarcane,688,39216
CHIKMAGALUR,2009,Whole Year ,Sugarcane,620,48887
CHIKMAGALUR,2010,Whole Year ,Sugarcane,817,64420
CHIKMAGALUR,2011,Whole Year ,Sugarcane,894,68793
CHIKMAGALUR,2012,Whole Year ,Sugarcane,1532,85869
CHIKMAGALUR,2013,Whole Year ,Sugarcane,1546,88122
CHIKMAGALUR,2014,Whole Year ,Sugarcane,1391,132145
CHITRADURGA,1997,Whole Year ,Sugarcane,8378,827746
CHITRADURGA,1999,Whole Year ,Sugarcane,1314,132320
CHITRADURGA,2000,Whole Year ,Sugarcane,2095,214947
CHITRADURGA,2001,Whole Year ,Sugarcane,2231,180153
CHITRADURGA,2002,Whole Year ,Sugarcane,1385,114470
CHITRADURGA,2003,Whole Year ,Sugarcane,330,22258
CHITRADURGA,2006,Whole Year ,Sugarcane,60,5244
CHITRADURGA,2007,Whole Year ,Sugarcane,65,5496
CHITRADURGA,2010,Whole Year ,Sugarcane,4,388
CHITRADURGA,2011,Whole Year ,Sugarcane,10,912
CHITRADURGA,2012,Whole Year ,Sugarcane,37,3093
DAKSHIN KANNAD,1997,Whole Year ,Sugarcane,2154,188260
DAKSHIN KANNAD,1999,Whole Year ,Sugarcane,598,60219
DAKSHIN KANNAD,2000,Whole Year ,Sugarcane,340,34884
DAKSHIN KANNAD,2001,Whole Year ,Sugarcane,378,30524
DAKSHIN KANNAD,2002,Whole Year ,Sugarcane,197,16656
DAKSHIN KANNAD,2003,Whole Year ,Sugarcane,23,1508
DAKSHIN KANNAD,2006,Whole Year ,Sugarcane,18,1573
DAKSHIN KANNAD,2008,Whole Year ,Sugarcane,19,1643
DAKSHIN KANNAD,2009,Whole Year ,Sugarcane,16,1535
DAKSHIN KANNAD,2010,Whole Year ,Sugarcane,16,1550
DAKSHIN KANNAD,2011,Whole Year ,Sugarcane,19,1733
DAKSHIN KANNAD,2012,Whole Year ,Sugarcane,25,2090
DAKSHIN KANNAD,2013,Whole Year ,Sugarcane,16,1444
DAKSHIN KANNAD,2014,Whole Year ,Sugarcane,10,912
DAVANGERE,1999,Whole Year ,Sugarcane,14872,551008
DAVANGERE,2000,Whole Year ,Sugarcane,16906,2120012
DAVANGERE,2001,Whole Year ,Sugarcane,22295,2181566
DAVANGERE,2002,Whole Year ,Sugarcane,19992,2146141
DAVANGERE,2003,Whole Year ,Sugarcane,8150,696825
DAVANGERE,2005,Whole Year ,Sugarcane,5890,654674
DAVANGERE,2006,Whole Year ,Sugarcane,3653,451146
DAVANGERE,2007,Whole Year ,Sugarcane,7222,809586
DAVANGERE,2008,Whole Year ,Sugarcane,2679,285046
DAVANGERE,2009,Whole Year ,Sugarcane,3697,453067
DAVANGERE,2010,Whole Year ,Sugarcane,4865,660910
DAVANGERE,2011,Whole Year ,Sugarcane,5281,702373
DAVANGERE,2012,Whole Year ,Sugarcane,4362,480692
DAVANGERE,2013,Whole Year ,Sugarcane,6900,793155
DAVANGERE,2014,Whole Year ,Sugarcane,9523,1221325
DHARWAD,1997,Whole Year ,Sugarcane,7762,442434
DHARWAD,1999,Whole Year ,Sugarcane,3906,359938
DHARWAD,2000,Whole Year ,Sugarcane,3522,317860
DHARWAD,2001,Whole Year ,Sugarcane,2868,209794
DHARWAD,2002,Whole Year ,Sugarcane,3560,223212
DHARWAD,2003,Whole Year ,Sugarcane,3039,98160
DHARWAD,2005,Whole Year ,Sugarcane,1247,110172
DHARWAD,2006,Whole Year ,Sugarcane,1383,89342
DHARWAD,2007,Whole Year ,Sugarcane,3722,240441
DHARWAD,2008,Whole Year ,Sugarcane,2869,177161
DHARWAD,2009,Whole Year ,Sugarcane,872,61302
DHARWAD,2010,Whole Year ,Sugarcane,4533,254075
DHARWAD,2011,Whole Year ,Sugarcane,3465,207380
DHARWAD,2012,Whole Year ,Sugarcane,4534,297204
DHARWAD,2013,Whole Year ,Sugarcane,3706,253490
DHARWAD,2014,Whole Year ,Sugarcane,8653,641187
GADAG,1999,Whole Year ,Sugarcane,130,13091
GADAG,2000,Whole Year ,Sugarcane,347,35602
GADAG,2001,Whole Year ,Sugarcane,535,43201
GADAG,2002,Whole Year ,Sugarcane,550,46502
GADAG,2003,Whole Year ,Sugarcane,92,6031
GADAG,2005,Whole Year ,Sugarcane,38,3357
GADAG,2006,Whole Year ,Sugarcane,87,7604
GADAG,2007,Whole Year ,Sugarcane,101,8540
GADAG,2008,Whole Year ,Sugarcane,178,15388
GADAG,2009,Whole Year ,Sugarcane,107,10267
GADAG,2010,Whole Year ,Sugarcane,852,82559
GADAG,2011,Whole Year ,Sugarcane,4305,392616
GADAG,2012,Whole Year ,Sugarcane,1572,131419
GADAG,2013,Whole Year ,Sugarcane,964,89748
GADAG,2014,Whole Year ,Sugarcane,1870,197192
GULBARGA,1997,Whole Year ,Sugarcane,5032,411114
GULBARGA,1999,Whole Year ,Sugarcane,8535,810825
GULBARGA,2000,Whole Year ,Sugarcane,9673,680012
