JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1.8,0.6,10.7,52.4,81.6,960.9,991.2,606.4,108,120.5,104.9,17.8,3056.9
3.2,0.3,4.9,10.2,54.6,698.4,1401.6,454.2,708.4,180.4,50.8,132.2,3699.2
0.7,0,0,4.1,202.8,536.5,1405.5,593.8,304.4,185,79.3,5.3,3317.4
2.4,0,4.8,23.7,93.2,1108.2,1070,465.6,245.3,127.2,0.7,0,3141.1
0,0.2,0,6.4,83.1,767.3,777.3,586.9,172.9,222.2,36.1,0,2652.3
23,0,0,0.5,29.8,593.6,1173.4,535,273.3,128.5,22.1,56.8,2836
7,0,2.7,91.3,19,845.9,1166.3,1026.1,223.6,87.7,55.8,9.8,3535.2
0,3.1,0.9,46.1,38,708.6,1904.9,766.6,128,56.8,2.5,0,3655.5
4,1,3.7,6.3,200.1,943.1,1285.6,315.6,293.8,68.8,47.8,3.2,3172.9
0,0,5,6.2,40.2,1042.2,589.5,651.2,441.7,177.8,67,0,3020.8
0,0,0,3.2,71,749.5,830.1,538.3,110.3,160.8,41.6,17.5,2522.3
1.1,0,0,30.5,64,787.6,1261.5,789.2,160.8,220.9,80.1,0.4,3395.9
0,0.4,0.5,10.6,74.2,786.5,1048,410.7,161,339.1,1.2,4,2836.3
0,0,0,7.2,36.9,743.2,1583.7,933.8,302.8,125.9,102.7,36.6,3872.7
0.1,2.3,2,48.8,75.2,785,773.2,388.9,304,168.3,96.9,4.2,2648.7
0,0,0.3,25.2,88.7,1051.4,633.5,617,587.8,208.7,255.2,0,3467.9
0,29.8,7.1,10.2,52.6,1075.7,766.1,597.6,500.5,319.6,64.8,0,3424.1
3.4,0.3,3.9,11.4,699.5,564.4,360.6,485.4,134.3,64.7,168.8,14.2,2510.9
0,0,0,2.4,74.4,669.9,960.9,632.7,208.3,236.2,124,9.3,2918.1
2.1,0,0.1,72.7,29.2,813.3,1107.5,464.7,133.5,129.8,36.3,0,2789.2
13,0,3.5,62.4,18.6,699.4,871.9,841.6,327.1,128.6,41.3,0,3007.4
6.5,3.1,0,44.8,123.4,763.1,1333.2,564.9,314.4,89.8,89.4,0,3332.6
0.8,0.2,32.2,9.8,52.8,604.8,1627.2,1013.2,283.3,44.4,6.6,5.8,3681.1
0,0,14.8,46,47.2,889.6,1515.4,602.7,282.7,94.4,30.8,5.2,3528.9
0,0,17.1,20.8,176.6,1176.4,1117.2,733.7,81.5,213.2,27.7,17.2,3581.3
12.3,2,0.1,7.3,15.3,686.3,976.4,850.3,258.7,143.6,4,0.1,2956.4
0,0,0.6,21.5,80.1,683.4,1313.2,535.8,319.9,110.5,151.3,0,3216.4
0.1,29.3,21.7,36.3,17.1,844.6,1108.8,836.6,107.4,316.4,12,9.3,3339.6
1.9,0.2,2.5,105.6,114.7,1361.6,901.3,566.9,265.2,281.9,61.4,0.2,3663.6
1.2,0.2,0,19.3,171.5,910.9,706.8,420.8,401.2,254.1,14.2,12.6,2913
0,0,2.4,33.4,85.1,673.4,1244,1201.9,255.6,183.5,106.7,56.5,3842.4
0,0,0,25.4,255.4,661.5,1072.4,457.2,469.9,348.7,125.6,7.3,3423.4
0,0.1,5.4,60.6,360.3,1031.9,1326.6,481.3,502.5,292.8,42.3,35.6,4139.5
7.4,0.6,1,16,24.4,1095.6,827.5,678.2,184.2,143.2,32.7,1,3011.8
2,0,0.7,11.3,25.2,674,1168.1,425.5,312.5,245,11.9,9.9,2886
0,0.9,23.3,14.7,138.7,1075.6,981.6,562.3,195.6,219.4,108.6,4.1,3324.7
0,0,5.7,110.1,30.3,740.8,1531.7,365.7,274.1,240.8,11.8,3.2,3314.2
0,0,15.5,43.3,138.2,1025.3,950.2,429.9,374,134.3,39.9,0.3,3150.9
0,0,5.4,35.9,8.4,725.7,903.9,631.4,127.3,232.6,73.4,0.2,2744.2
0.1,0,0.2,26.9,131,713.8,1155.7,1247.4,100.4,222.5,120.5,5.5,3723.9
4.1,1.2,5.5,18.1,60.5,869.7,589.8,561.6,224.9,122.8,21.6,35.3,2515.1
0,1.7,0.3,77.2,72.5,1104.8,1338.3,540.3,189.5,129.9,25.9,22.4,3502.6
22.4,1.7,1.3,7.1,455.2,941.8,994.4,314.5,461.5,280.2,97,0,3577.2
0,0.7,18.2,3.3,106.5,777.8,1204,451.2,61.6,267.6,81.9,11.8,2984.5
2.6,0,0,19.7,24.5,824.7,1296.1,493.2,294.7,63.2,60.7,0,3079.3
0,1.5,3.9,41.7,80.8,1227,1001.2,1086.6,231.5,148.9,180.6,37.7,4041.4
1.7,9.2,13.9,45.2,18.7,630.6,1247.9,899.5,389.5,48.7,7.1,26.3,3338
16.5,0,8.4,55.6,66.1,848.8,1102.9,973.2,301.3,90.6,163,0.2,3626.6
3.3,0,1.2,12,293.1,691.6,1157.1,585.4,438,148.8,32,0,3362.4
0,1,0.2,3.9,89.3,801.6,1506.7,456.1,716.5,136.6,54.1,0.1,3766.1
0,0,0.9,55.4,70.7,940.2,1083.4,441.1,268.9,187.1,76.2,0.4,3124.3
0,0.5,0,35.4,84.8,912.1,816.6,631.4,54.7,335.5,0,25.6,2896.6
0.3,0,0,48.2,8.6,666.2,1630.1,633.6,160,313.4,2.9,0,3463.3
0.5,0,21.6,61.1,89.8,1034.4,1357.4,688.7,421.8,133.6,0.6,12.1,3821.5
0.3,0,4.7,29.9,360.3,962.7,639.3,702.2,458.2,361.1,31,2.8,3552.5
0,0.8,1,78.4,412.7,1001,1155.8,520,267.6,288.5,129.9,0.7,3856.6
0,0,1.5,8.5,168,755.8,1101.1,703.9,98,189,148.9,0.1,3174.8
0.5,0.1,1.7,46.6,184.8,1031.4,1253.7,705.8,296.9,114.1,49.1,2.8,3687.4
0,0,0,30.4,204.4,994.4,1727,704.1,521.6,75.3,52,21.7,4330.8
0,0,8.5,40.7,393.7,790.6,1053.2,510.5,450.5,169,87.6,0,3504.2
0,0,0.9,47.7,635,1013,1884.9,936.3,702.8,309.6,21,2.7,5553.9
0.2,3.4,0.1,31.6,359.4,405.4,1307.9,1080.9,413.5,313.4,18.5,83.3,4017.7
1.1,0.7,28.6,38.5,86,682.3,887.6,1013.8,181,233.7,8.2,10,3171.3
0,0,2.6,5.8,23.4,631.7,864,978.1,363.9,200.2,53.1,17.6,3140.5
2.5,0,0,9.7,39.7,797.8,1002.5,577.2,196.8,25.1,20.1,159.8,2831.1
3.7,0,0.8,11.8,196,577.9,1122.4,278.3,299.6,191.9,231.5,62.8,2976.6
2,0,0.1,18.5,86.7,658.7,1368.5,673.4,237.1,124.8,7.4,4.5,3181.8
2,0,6.3,43.7,19.2,826.6,1550.5,456.3,304.9,221.4,30.1,0.1,3461
0,0,1.2,44.8,49.9,704.8,1253.9,488.2,542.7,163.4,82.6,11.4,3342.9
0,0,2,30.9,260.4,843.7,1259.2,1130.5,328.7,157.8,28.7,0,4042
0,0.1,0.4,23.5,268.3,1113.2,1017,532.6,215.6,55.2,7,2.5,3235.2
0,0.5,0.2,17,153.4,716.9,1068.8,522.9,131.2,201.6,38.7,5.8,2856.9
0,0,0,15.3,83,765.5,982.1,915.9,178.5,140.7,39.6,5.4,3126
0,0,5.5,25.8,168.1,474.7,1465.9,741.7,361.8,182.4,7.6,0,3433.5
0.3,0,7,8,103,1327.8,1095.5,958.6,537.1,199.5,63.1,0.1,4300
0,0,8.1,20.3,35.8,492.7,1187.1,644.4,346.4,50.3,138.3,10.6,2933.9
0,1.9,3.3,24.7,116.1,855.7,1290.3,441.1,266.5,198.5,180.8,0,3379
0.3,0.5,0,11.8,251.6,1212.6,1222.5,745.4,206.7,121.5,76.3,13.8,3862.9
0.8,0.2,0.2,11.7,12.2,735.3,962.7,619.4,238.6,127.3,111.8,3.3,2823.4
0,0,0.8,78.6,57.1,1193.3,1057.7,1004.7,199.5,95,71.3,4.1,3762
0.7,0,1.9,17,58.1,1013.7,1049.3,1187.4,340.7,119.9,56.7,3.2,3848.6
0,0.3,0.3,3.2,87.5,808.6,1258.7,1579.1,151.8,138.3,62.6,0.3,4090.9
0,0,0,0,24.4,712.6,1160.4,1231.8,596.5,140.9,50.3,25.2,3942.2
4.3,6,34.2,46.7,24,1110.2,1084.1,613.6,196.8,227.9,11.2,0.1,3359
5.3,0,1.6,12.9,76.9,977.9,668.5,844.3,130.6,258.6,27.5,11.7,3015.7
0.3,0.1,4.8,6.2,20.9,976.5,723.3,808.9,176.3,102.2,112.5,2.5,2934.5
0,0,0.2,1.7,63.5,728.3,704.5,715.6,180.6,232.2,74.9,14.7,2716.2
0,0.2,0,32,28.4,689.3,1295.8,832.6,451.9,122.7,2.4,11.3,3466.6
0,0,8.4,22.4,53.6,982.5,914.4,829.3,234.7,138.1,31.9,0.3,3215.6
1.7,0,0.1,5.2,343.2,997,1110.8,1087,265.4,215,93.6,1.5,4120.4
0.1,0,0.3,47.7,95.9,939.9,1501.7,896.5,79.5,111.8,45.6,0.7,3719.7
0,0,0,17.2,77,873.2,1087.5,1097.5,354.3,133.6,241.8,0,3882.2
0,0.1,6.7,21.7,68.3,591.2,1397.3,742,214.3,347.4,40.8,51.5,3481.3
3.5,0,6.3,72.9,44.1,1221.1,1748.2,907,268.1,336,28.6,0.5,4636.3
3.7,0,0.7,21.1,137.8,535.8,1375.7,685.1,348.5,192,57.4,0,3357.8
0.3,0,0.4,20.3,26.2,787,1122.6,617.9,289.3,259.5,27.5,37.8,3188.9
